Reference ID,Voting Date,Topic Number,Topic Title,Meaning of Yes,Meaning of No,Voting Subject,Proposal Title,Council Decision,Number of Yes,Number of No,Number of Abstentions,Number of excused,Number of non-participation,Percent_Yes
28811,28.05.2024,20240007,Voranschlag 2024. Nachtrag I,Antrag der Mehrheit | * | *,Antrag der Minderheit Schilliger (streichen) | * | *,"7-WBF / 704 Staatssekretariat für Wirtschaft
A231.0192 Schweiz Tourismus (gilt auch für den Bundesbeschluss Ia Zahlungsrahmen und Art. 3 sowie für den Bundesbeschluss Ib Art. 1) | * | *",*,1,100,93,4,2,0,0.5076142131979695
28812,28.05.2024,20240007,Voranschlag 2024. Nachtrag I,Antrag der Mehrheit (gemäss BR) | * | *,Antrag der Minderheit Gafner (streichen) | * | *,"2-EDA / 202 EDA
V0021.05 Entwicklungszusammenarbeit Ost 2021.2024 (gilt auch für den Bundesbeschluss Ia Art. 2 | * | *",*,1,127,67,2,2,1,0.6479591836734694
28813,28.05.2024,20240007,Voranschlag 2024. Nachtrag I,Antrag der Kommission | * | *,Antrag des Bundesrates | * | *,"5-VBS / 504 Bundesamt für Sport
V0396.01/A231.0109 Internationale Sportgrossanlässe Fördermassnahmen 2025-2029 (gilt auch für den Bundesbeschluss Ia Art. 2) | * | *",*,1,122,72,1,2,2,0.6256410256410256
28814,28.05.2024,20240007,Voranschlag 2024. Nachtrag I,Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,*,1,130,66,0,2,1,0.6632653061224489
28816,28.05.2024,20240007,Voranschlag 2024. Nachtrag I,Antrag der Kommission | * | *,Antrag des Bundesrates | * | *,"8 UVEK / 802 Bundesamt für Verkehr
A231.0445 Tariferleichterung UEFA Women's Euro 2025 (gilt auch für den Bundesbeschluss Ia Verpflichtungfskredite und Art. 3 sowie Bundesbeschluss Ib Art. 1) | * | *",*,1,117,77,3,2,0,0.5939086294416244
28817,28.05.2024,20240007,Voranschlag 2024. Nachtrag I,Zustimmung zum Art. 2 nach der Regel über die Ausgabenbremse | * | *,Ablehnung des Art. 2 | * | *,Art. 2 - Ausgabenbremse | * | *,*,1,131,66,0,2,1,0.6649746192893401
28818,28.05.2024,20240007,Voranschlag 2024. Nachtrag I,Antrag der Mehrheit | * | *,Antrag der Minderheit II Bürgi Roman | * | *,"Anhang 1 - 704 Staatssekretariat für Wirtschaft
A231.0192 Schweiz Tourismus | * | *",*,-1,85,101,10,2,1,0.4336734693877551
28819,28.05.2024,20240007,Voranschlag 2024. Nachtrag I,Antrag der Mehrheit | * | *,Antrag der Minderheit Bürgi Roman | * | *,"8 UVEK - 802 Bundesamt für Verkehr
A231.0445 Tariferleichterung UEFA Women's Euro 2025 | * | *",*,1,108,88,0,2,1,0.5510204081632653
28820,28.05.2024,20240007,Voranschlag 2024. Nachtrag I,Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,*,1,130,66,0,2,1,0.6632653061224489
28821,28.05.2024,20220035,Tonnagesteuer auf Seeschiffen. Bundesgesetz,Antrag der Mehrheit (Nichteintreten) | * | *,Antrag der Minderheit Amaudruz (Eintreten) | * | *,Eintreten | * | *,Bundesgesetz über die Tonnagesteuer auf Seeschiffen (Tonnagesteuergesetz),1,108,75,2,2,12,0.5837837837837838
28822,28.05.2024,20243154,Absenzen am Arbeitsplatz. Sozialpartnerschaftlich Transparenz herstellen und zielgerichtete Massnahmen entwickeln,Annahme des Postulates | * | *,Ablehnung des Postulats | * | *,* | * | *,*,1,127,51,12,2,7,0.6684210526315789
28823,28.05.2024,20243191,"Der Bundesrat hat die Eignerstrategie bei seinen Staatsunternehmen so anzupassen, dass von Firmenübernahmen im Ausland abgesehen wird und das Parlament zwingend einbezogen werden muss",Annahme der Motion | * | *,Ablehnung der Motion | * | *,* | * | *,*,-1,64,123,4,2,6,0.33507853403141363
28824,28.05.2024,20243229,"Bundesausgaben im Inland priorisieren, um Kürzungen der schwach gebundenen Ausgaben zu vermeiden",Annahme des Postulates | * | *,Ablehnung des Postulats | * | *,* | * | *,*,-1,88,102,1,2,6,0.4607329842931937
28825,28.05.2024,20243233,Überprüfung der staatlichen Leistungen. Konzentration der Kräfte,Annahme des Postulates | * | *,Ablehnung des Postulats | * | *,* | * | *,*,1,96,91,4,2,6,0.5026178010471204
28826,28.05.2024,20243249,Finanzierung der 13. AHV-Rente über Einsparungen bei den Auslandsbeiträgen und im Asylwesen,Annahme der Motion | * | *,Ablehnung der Motion | * | *,* | * | *,*,-1,65,125,1,2,6,0.3403141361256545
28827,28.05.2024,20243282,Überprüfung der Steuersubventionen,Annahme des Postulates | * | *,Ablehnung des Postulats | * | *,* | * | *,*,-1,50,119,23,2,5,0.2604166666666667
28829,29.05.2024,20230084,Arbeitslosenversicherungsgesetz (AVIG). Teilrevision,Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,"Bundesgesetz über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung (Arbeitslosenversicherungsgesetz, AVIG) (Entschädigungssystem der Arbeitslosenkassen)",1,171,0,0,3,25,1.0
28850,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,Bundesgesetz über die Berufsbildung,1,131,63,1,3,1,0.6717948717948717
28851,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Minderheit I Prelicz-Huber | * | *,Antrag der Minderheit II der FK Fehlmann Rielle | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,-1,62,133,0,3,1,0.31794871794871793
28852,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Minderheit  II der FK Fehlmann Rielle | * | *,Antrag der Minderheit II Brizzi | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,-1,62,132,0,3,2,0.31958762886597936
28853,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK | * | *,Antrag der Minderheit II Brizzi | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,133,62,0,3,1,0.6820512820512821
28854,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK | * | *,Antrag der Minderheit III Riem und der FK I Schilliger (gemäss BR) | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,121,74,0,3,1,0.6205128205128205
28855,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Zustimmung zu Art. 1 nach der Regel über die Ausgabenbremse | * | *,Ablehnung des Art. 1 | * | *,Art. 1 - Ausgabenbremse | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,131,64,1,3,1,0.6683673469387755
28856,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Minderheit I Prelicz-Huber | * | *,Antrag der Minderheit II der FK Fehlmann Rielle | * | *,Art. 2 Abs. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,-1,62,132,0,3,2,0.31958762886597936
28857,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Minderheit II der FK Fehlmann Rielle | * | *,Antrag der Minderheit II Brizzi | * | *,Art. 2 Abs. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,-1,62,133,0,3,1,0.31794871794871793
